Категория,Название сообщества,Описание,Контакты руководителя,Ссылка на соцсети ,Комментарий 
ОСО,"СПО ""Альтависта""","""Альтависта"" — единственный и неповторимый педагогический отряд, основанный на базе НИЯУ МИФИ 30 марта 2018 года. Мы входим в Штаб Студенческих отрядов НИЯУ МИФИ и являемся частью московского регионального отделения МООО ""РСО"". 3-е место среди педагогических отрядов Москвы 2021

👨‍🎓 Педагогический отряд в техническом вузе - не миф, а реальность! Летом мы работаем в детских лагерях вожатыми, а в остальное время года сотрудничаем с предуниверситарием НИЯУ МИФИ, принимаем участие в благотворительных проектах, участвуем в творческих фестивалях и это далеко не всё! 

Направления нашей деятельности: работа летом в детских лагерях, работа с учениками Предуниверситария НИЯУ МИФИ, участие в благотворительных проектах для детей, помощь в организации и проведении мероприятий НИЯУ МИФИ, а также много интересного во внутренней жизни отряда!","командир - https://vk.com/amurzlik, комиссар - https://vk.com/viviksen, методист - https://vk.com/id211241264, руководитель PR-отдела - https://vk.com/vikasikka",https://vk.com/spo_altavista тг-канал: https://t.me/sovinyidvizh,связь отряды
ОСО,ССО Маяк,"Студенческий строительный отряд «Маяк» основан в 2016 году. Каждый год мы собираем в наших рядах самых энергичных студентов, готовых развиваться и пробовать что-то новое. 

💥 Один из лучших строительных отрядов Москвы! (2-е место по итогам конкурса «Лучший студенческий строительный отряд Москвы» в 2024 году)

⚒ Для студентов НИЯУ МИФИ отряды — это прекрасная возможность познакомиться с будущим местом работы. Мы проходим официальное трудоустройство на проектах атомной отрасли. 🎭 В свободное от работы время мы участвуем в конкурсах. Здесь каждый может проявить свои таланты, открыть в себе что-то новое и найти друзей с различных уголков страны. 
 
🎨 Но самое интересное происходит внутри отряда и передаётся из поколения в поколение. Проведя много дней бок о бок, мы становимся настоящей командой, где каждый готов помочь своему товарищу.

Рассказывать можно долго, но самый надёжный способ всё узнать — это попробовать самому. Заполняйте анкету, пишите в сообщения группы, мы ждём вас!","командир - https://vk.com/gusar_vivat, комиссар - https://vk.com/mrs.polsha, мастер - https://vk.com/linkvizition, руководитель PR-службы - https://vk.com/iriska0808",https://vk.com/sso_mayak,связь отряды
ОСО,ССО Слейпнир,"мужской строительный отряд был создан 22 ноября 2013 года в городе Москва на базе НИЯУ МИФИ. В ВУЗе второй по старшенству и первый по мужичеству.

Батьки основатели: Зайцев Игорь, Трушин Максим и Пряничников Александр.
Пройдя этот опыт с нами, ты:
поймёшь, как много в тебе неисчерпаемых источников энергии для творческой самореализации
обретёшь верных друзей — с которыми хоть в огонь и воду
навсегда сохранишь в себе частицу вечного пламени отрядного духа","командир - https://vk.com/igogot, комиссар - https://vk.com/id538255961, мастер - https://vk.com/id261346621",https://vk.com/mephisleipnir,связь отряды 
ОСО,ССО Творцы Энергии,"ССО ""Творцы Энергии"" - это компания, состоящая из разных, удивительных, особенных девочек, готовых покорять любые вершины! Мы - это теплая семья, готовая принять, хорошо провести время вместе и помочь с чем угодно. отряд Создан 22 октября 2012 года.


У нас вы поймёте, что такое настоящая отрядная любовь: вечерние посиделки за чашечкой чая, помощь в любых трудностях и, конечно, соблюдение всех традиций!

Если ты готова:

Провести незабываемое лето;

Заработать все деньги стройки;

Стать частью большой семьи;

Познакомиться с ребятами из разных уголков нашей необъятной страны;

Проявить себя с разных сторон;

Приобрести ценнейший опыт и полезные навыки;

Окунуться в океан диких эмоций и воспоминаний;

Выйти из зоны комфорта,
то присоединяйся к самому красивому отряду, заполнив анкету!","командир - https://vk.com/rkolesnikova.maria, комиссар - https://vk.com/yuki.shiro18, мастер - https://vk.com/ssonjash",https://vk.com/sso_tvorci,связь отряды
ОСО,ССО Триумф,"Студенческий Строительный Отряд «Триумф» 

📆Основан 20 декабря 2014 г.

✨Наш девиз:
«Успехов достигнем в любом начинании, 
К общему делу приложим старание, 
Триумф впереди всегда и во всем, 
Сквозь тернии к звёздам мы смело идем!»

👷‍♂️Чем мы занимаемся летом?

После сессии работаем на стройке в другом городе, в том числе на строительстве объектов «Росатома». 💃А что ещё делаем на целине?

— путешествуем;
— общаемся с другими отрядниками;
— участвуем в творческих конкурсах: песни, танцы, театр, дизайн и т.д.;
— соревнуемся в спорте;
— поём под гитару у костра;
— болтаем, играем, отдыхаем.

💥Чем занимаемся в течение года?

— участвуем в отрядном движе: конкурсах, слётах, мастер-классах, соревнованиях и т.д.;
— активничаем в МИФИ: волонтерим, организуем мероприятия, например, Фестиваль От Сердца к Сердцу, Творческий вечер, игротеки и т.д.;— вместе развлекаемся, отдыхаем и общаемся!","командир - https://vk.com/r.minabutdinov3 ssotriumf@yandex.ru +8 (987) 277-54-65, комиссар https://vk.com/nasa911 +7 (953) 960-28-72, мастер - https://vk.com/eldarchurkin +7 (916) 664-69-59, глава PR-отдела - https://vk.com/fyrlucif +7 (985) 905-98-35",https://vk.com/sso_triumph,связь отряды 
,,,,,
ОСО,Совет общежитий,"Совет общежитий — это неравнодушные студенты, которые совместно стараются сделать жизнь в общежитии более комфортной. Это истинные хранители правил проживания в кампусе НИЯУ МИФИ!

Деятельность разбита на 3 сектора, затрагивающих различные аспекты жизни в общежитиях и обеспечения работы Совета: — решение социально-бытовых проблем (неработающих душей, стиральных машинок, лампочек); — организация культурно-досуговых мероприятий; — медийное сопровождение деятельности Совета и информирование студентов о мероприятиях и деятельности администрации. Совет общежитий с 2014 года оперативно решает проблемы студентов, связанные с проживанием в общежитии, и отвечает на любые вопросы. ","председатель совета общежитий - https://vk.com/arishe_el AABugaets@mephi.ru: заместитель председателя - https://vk.com/a.dudkina0, https://vk.com/wikipeder: руководитель социально-бытового направления работы - https://vk.com/nikitastodelov: руководитель медиа направления работы - https://vk.com/young1743: руководитель культурно-доугового направления работы - https://vk.com/lelyamartyanova",https://t.me/somephi https://vk.com/somephi,связь с общественной деятельностью
ОСО,Старостат,"Старостат НИЯУ МИФИ — составная часть системы студенческого самоуправления университета, которая даёт возможность каждому студенту — вне зависимости от области его интересов — принимать участие в повышении качества образовательного процесса в университете.

Направления деятельности:
методическая поддержка работы старост учебных групп;
организация встреч студентов с представителями администрации и университетских кафедр;
развитие студенческих образовательных кружков по общим и профильным предметам для помощи студентам с освоением образовательной программы;
проведение опросов студентов о качестве образовательного процесса.
Проекты, направленные на методическую поддержку работы старост учебных групп
мероприятие «Школа старост НИЯУ МИФИ»;
конкурс «Лучший староста НИЯУ МИФИ»;
тестирование старост учебных групп и их заместителей на знание нормативных документов НИЯУ МИФИ;
тематические лекции и тренинги для старост учебных групп и их заместителей.",Беликова Варвара Алексанровна,https://t.me/starostat_nrnu_mephi,связь с общественной деятельностью
ОСО ,Фотоклуб НИЯУ МИФИ,"сообщество фотографов НИЯУ МИФИ

сообщество, объединяющее сердца и проекты людей из

Пресс-служба ОСО НИЯУ МИФИ
Редакция студенческого журнала ""АТОМ""
Отдел мультимедийных технологий НИЯУ МИФИ","администратор сообщества, фотограф - https://vk.com/id131702533, https://vk.com/denslect",https://t.me/photomephi https://vk.com/mephiphotos,связь медиа
ОСО ,ВИКLab,"карьерное сообщество, связанное с IT-направлениями и инновациями",mailto:rector@mephi.ru,https://vk.com/vikrf_ru,связь карьера 
ОСО ,Мастерская компетенций,"сообщество, направленное на развитие профессиональных и карьерных навыков",https://vk.com/id151387445,https://vk.com/mephi_ccenter,связь карьера 
ОСО ,Карьерные студенческие медиа,"команда, освещающая карьерные события и возможности для студентов НИЯУ МИФИ",,,связь карьера 
ОСО ,Бизнес Клуб,"сообщество, ориентированное на предпринимательство и карьеру в бизнесе",@pltnkvartem,@pltnkvartem,связь карьера 
ОСО ,Кейс-клуб,сообщество для тренировки навыков решения бизнес-кейсов и развития компетенций,https://vk.com/z0z0z0zz0 (медийщик),https://vk.com/cmephi,связь карьера 
Отряд,СПО Альтависта,,,,связь осо
Отряд,ССО Маяк,"Основан в 2016 году. Ежегодно объединяет энергичных студентов для работы на строительных проектах, ориентированных на развитие, командную работу и получение практического опыта в сфере строительства",,https://vk.com/sso_mayak,связь осо
Отряд,ССО Слейпнир,"Название заимствовано из скандинавской мифологии: Слейпнир — восьминогий конь Одина, символ прочности, скорости и преданности делу. Отряд участвует в профильных трудовых проектах университета",,https://vk.com/mephisleipnir,связь осо
Отряд,ССО Творцы энергии,"Женский строительный студенческий отряд НИЯУ МИФИ, создан 22 октября 2012 года. Активно участвует в межрегиональных и всероссийских стройках, становясь лауреатом профильных конкурсов по производственной и комиссарской деятельности. Отряд известен инициативностью и высоким уровнем организации совместных мероприятий",,https://vk.com/sso_tvorci,связь осо
Отряд,ССО Триумф,"Строительный студенческий отряд, основанный 20 декабря 2014 года. Участвует в различных строительных объектах, в том числе на крупных всероссийских стройках, отличаясь активной позицией и командным духом",,https://vk.com/sso_triumph,связь осо
,,,,,
Отряд,Штаб студенческих отрядов МИФИ,,,https://vk.com/shtabsomephi,связь осо
Отряд,СОП Гамма,,,https://vk.com/sop_gamma,связь осо
Отряд,ОКД Резонанс,,,https://vk.com/culture_band,связь осо 
Отряд,ОСД Мята,,,https://vk.com/osd.myata,связь осо
,,,,,
Проекты-события,Мифический бал,"Традиционное мероприятие, на котором можно погрузиться в атмосферу сказки, научиться танцевать, найти друзей и любовь.",https://vk.com/a.dudkina0,https://vk.com/balmephi,
Проекты-события,"Проект ""Вызов""","Спортивно-туристическое мероприетие, которое прохоит на базе отдыха ""Волга""",https://t.me/mr_gentlemanlike,https://t.me/nuclear_challenge,
Проекты-события,Хакатон АтомHack,"Хакатон для студентов бакалавриата 4 курса, специалитета (старшие курсы) и магистратуры IT и инженерных специальностей",https://hes.mephi.ru/?page_id=27202#Registr,https://hes.mephi.ru/?page_id=27202,
Проекты-события,Акселератор МИФИ,"ПРОКАЧАЙТЕ ИДЕЮ И ПОЛУЧИТЕ ПЕРВОЕ ФИНАНСИРОВАНИЕ
Доработайте бизнес-идею с командой экспертов, получите финансирование на разработку прототипа и запустите успешный стартап",accelerator@mephi.ru,https://accelerator.mephi.ru/,
проекты-события,день донора,"""Несмотря на то, что Москва — большой город, многие больницы часто сталкиваются с проблемой нехватки донорской крови. Это связано с тем, что люди очень заняты учебой, работой, и не могут выделить несколько часов на визит в отделение переливания крови. 

Поэтому добровольческое движение НИЯУ МИФИ сделало все возможное, чтобы студенты смогли сдать кровь, не отрываясь от учебы. Традиционно 4 раза в год врачи Федерального медико-биологического агентства приезжают прямо в здание института.
 
Донором может стать студент, достигший 18 лет и не имеющий противопоказаний к сдаче крови. При себе необходимо иметь только паспорт и СНИЛС.""",,https://vk.com/donordaymephi Telegram: https://t.me/donordaymephi,связь осо
проекты-события ,"""благотворительный фестиваль """"от сердца к сердцу""""""",Творчество в помощь детям ,,"""https://t.me/h2hfest
Наша группа Вконтакте: https://vk.com/h2hfest_msk""",связь осо
Секции,,,,,
Спорт,,,,,
Проекты-события ,Мифическое казино ,Организация тематических вечеринок,@ilich_05,https://t.me/mythicasino,
